50.01 -5.7655 -9.9884 -6.37592 -8.49283 -9.18515 -3.84384 -7.5072 -8.06538 -7.18804 -5.3716 -8.12528 -8.53866 -4.06051 -7.45069 -6.79552 -8.14373 -5.30383 -7.89143 -8.72056 -4.13747 -8.89072 -7.16378 -7.80226 -5.5157 -7.89418 -8.63164 -4.15078 -8.252 -7.01005 -7.89468 -5.49188 -7.92625 -8.6737 -4.2336 -8.39355 -6.98452 -7.64907 -5.65852 -7.94884 -8.68475 -3.09855 -8.2948 -6.49363 -9.53072 -3.68871 -7.60506 -8.74672 -2.2538 -8.1899
50.06 -5.80635 -9.95616 -6.30661 -8.5052 -9.17287 -3.84999 -7.53126 -8.05227 -7.18853 -5.37551 -8.1064 -8.53558 -4.06209 -7.47686 -6.79534 -8.14489 -5.30446 -7.89181 -8.72071 -4.1373 -8.88701 -7.16436 -7.80186 -5.5156 -7.89426 -8.63153 -4.15086 -8.25162 -7.00988 -7.89472 -5.49195 -7.92624 -8.67373 -4.23359 -8.39385 -6.98453 -7.64909 -5.65851 -7.94885 -8.68475 -3.09855 -8.29473 -6.49364 -9.5307 -3.68872 -7.60506 -8.74671 -2.25381 -8.18989
50.11 -5.84569 -9.92334 -6.24097 -8.51789 -9.16116 -3.85621 -7.556 -8.03872 -7.18925 -5.37955 -8.08894 -8.53286 -4.06364 -7.50307 -6.79525 -8.14601 -5.3051 -7.89221 -8.72084 -4.13714 -8.88299 -7.16491 -7.80146 -5.5155 -7.89434 -8.63142 -4.15094 -8.25128 -7.00971 -7.89476 -5.49202 -7.92623 -8.67377 -4.23358 -8.39416 -6.98454 -7.64912 -5.6585 -7.94885 -8.68475 -3.09856 -8.29467 -6.49366 -9.53068 -3.68874 -7.60507 -8.74671 -2.25381 -8.18989
50.16 -5.88341 -9.89006 -6.17927 -8.53083 -9.15007 -3.86246 -7.58132 -8.0248 -7.19019 -5.38371 -8.07291 -8.53052 -4.06513 -7.52923 -6.79524 -8.14709 -5.30576 -7.89263 -8.72095 -4.13698 -8.87867 -7.16546 -7.80105 -5.51542 -7.89442 -8.63132 -4.15102 -8.25097 -7.00953 -7.89481 -5.49209 -7.92622 -8.67381 -4.23356 -8.39446 -6.98455 -7.64914 -5.65848 -7.94886 -8.68475 -3.09856 -8.2946 -6.49367 -9.53066 -3.68875 -7.60507 -8.7467 -2.25381 -8.18989
50.21 -5.91939 -9.85644 -6.12171 -8.54396 -9.13964 -3.86872 -7.60712 -8.01054 -7.19138 -5.38796 -8.05831 -8.52856 -4.06658 -7.55523 -6.79534 -8.14813 -5.30642 -7.89306 -8.72104 -4.13683 -8.87406 -7.16598 -7.80063 -5.51534 -7.89451 -8.63121 -4.1511 -8.2507 -7.00935 -7.89487 -5.49216 -7.92622 -8.67385 -4.23355 -8.39475 -6.98457 -7.64916 -5.65847 -7.94887 -8.68475 -3.09857 -8.29453 -6.49369 -9.53064 -3.68877 -7.60508 -8.7467 -2.25382 -8.18989
50.26 -5.95359 -9.82262 -6.06848 -8.55722 -9.1299 -3.87497 -7.6333 -7.996 -7.19279 -5.39231 -8.0451 -8.52696 -4.06796 -7.58097 -6.79552 -8.14911 -5.3071 -7.89351 -8.72111 -4.1367 -8.86918 -7.16648 -7.80022 -5.51527 -7.8946 -8.63112 -4.15118 -8.25046 -7.00917 -7.89492 -5.49222 -7.92621 -8.6739 -4.23353 -8.39505 -6.98459 -7.64919 -5.65846 -7.94888 -8.68475 -3.09857 -8.29446 -6.4937 -9.53062 -3.68879 -7.60508 -8.7467 -2.25382 -8.18989
50.31 -5.98594 -9.7887 -6.01971 -8.57055 -9.12085 -3.88118 -7.65976 -7.98124 -7.19444 -5.39674 -8.03326 -8.52573 -4.06927 -7.60635 -6.7958 -8.15004 -5.30778 -7.89397 -8.72116 -4.13657 -8.86403 -7.16697 -7.7998 -5.5152 -7.89469 -8.63103 -4.15126 -8.25026 -7.00898 -7.89499 -5.49229 -7.92621 -8.67394 -4.23352 -8.39533 -6.98461 -7.64921 -5.65845 -7.94888 -8.68475 -3.09858 -8.29438 -6.49371 -9.5306 -3.68881 -7.60509 -8.74669 -2.25382 -8.18989
50.36 -6.01644 -9.75482 -5.97546 -8.58389 -9.11249 -3.88732 -7.68641 -7.9663 -7.19633 -5.40122 -8.02273 -8.52485 -4.07051 -7.63128 -6.79618 -8.15092 -5.30846 -7.89444 -8.72118 -4.13645 -8.85862 -7.16744 -7.79938 -5.51515 -7.89479 -8.63094 -4.15133 -8.2501 -7.0088 -7.89506 -5.49235 -7.92621 -8.67398 -4.2335 -8.39561 -6.98464 -7.64922 -5.65843 -7.94889 -8.68474 -3.09859 -8.29431 -6.49372 -9.53058 -3.68883 -7.60509 -8.74669 -2.25383 -8.1899
50.41 -6.04507 -9.72106 -5.93578 -8.59717 -9.10482 -3.89339 -7.71315 -7.95123 -7.19844 -5.40575 -8.01344 -8.52431 -4.07167 -7.65569 -6.79665 -8.15175 -5.30913 -7.89493 -8.72119 -4.13634 -8.85298 -7.16788 -7.79897 -5.5151 -7.89488 -8.63086 -4.15141 -8.24998 -7.00861 -7.89513 -5.49241 -7.92621 -8.67403 -4.23349 -8.39589 -6.98466 -7.64924 -5.65842 -7.9489 -8.68474 -3.09859 -8.29423 -6.49373 -9.53056 -3.68885 -7.60509 -8.74669 -2.25383 -8.1899
50.46 -6.07185 -9.68754 -5.90066 -8.61036 -9.09782 -3.89936 -7.73991 -7.93608 -7.20078 -5.41032 -8.00535 -8.52408 -4.07275 -7.6795 -6.79723 -8.15251 -5.3098 -7.89542 -8.72116 -4.13625 -8.84712 -7.1683 -7.79855 -5.51507 -7.89498 -8.63078 -4.15148 -8.24989 -7.00843 -7.89521 -5.49247 -7.9262 -8.67407 -4.23347 -8.39615 -6.98469 -7.64925 -5.6584 -7.9489 -8.68473 -3.0986 -8.29415 -6.49374 -9.53054 -3.68887 -7.6051 -8.74669 -2.25383 -8.18991
