0.005 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352 -5.43553 -6.62797 4.56012 0.165668 -1.04108 -2.23352
0.055 -5.8266 -6.41492 4.6488 0.193297 -1.17261 -2.41171 -5.82657 -6.42986 4.64762 0.192856 -1.1726 -2.41089 -5.82657 -6.43216 4.64753 0.192821 -1.1726 -2.413 -5.82657 -6.43216 4.64753 0.19282 -1.1726 -2.413 -5.82657 -6.42987 4.64754 0.19283 -1.1726 -2.41089 -5.82657 -6.41513 4.64753 0.192898 -1.1726 -2.41148 -5.82657 -6.40872 4.6476 0.192928 -1.1726 -2.38927 -5.82657 -6.39454 4.64763 0.192995 -1.1726 -2.3772 -5.82657 -6.38911 4.64774 0.193044 -1.1726 -2.3661 -5.82661 -6.38885 4.64893 0.19342 -1.17261 -2.36622
0.105 -6.20056 -6.40062 4.72587 0.220764 -1.298 -2.83423 -6.20043 -6.51344 4.72401 0.218916 -1.29794 -2.83616 -6.20042 -6.53977 4.72359 0.218532 -1.29793 -2.85088 -6.20042 -6.54003 4.72357 0.218523 -1.29793 -2.85103 -6.20042 -6.51406 4.72372 0.218819 -1.29793 -2.83672 -6.20042 -6.40126 4.7238 0.220064 -1.29796 -2.83371 -6.20045 -6.3469 4.72541 0.220768 -1.29797 -2.67384 -6.20047 -6.24366 4.72641 0.222039 -1.29799 -2.57645 -6.20049 -6.19647 4.72747 0.222729 -1.298 -2.49161 -6.20062 -6.19582 4.72942 0.223436 -1.29804 -2.49144
0.155 -6.558 -6.62889 4.78001 0.242717 -1.41738 -3.57219 -6.55777 -6.95485 4.7777 0.237165 -1.41712 -3.5855 -6.55771 -7.05192 4.7763 0.235513 -1.41706 -3.62442 -6.55771 -7.05511 4.77622 0.235471 -1.41706 -3.62644 -6.55773 -6.96261 4.77713 0.236949 -1.41711 -3.59284 -6.55775 -6.63638 4.77812 0.242009 -1.41729 -3.57872 -6.55802 -6.4726 4.78803 0.245452 -1.4174 -3.13605 -6.55819 -6.18982 4.79421 0.251164 -1.41759 -2.85308 -6.55835 -6.0565 4.7991 0.254436 -1.4177 -2.61299 -6.55859 -6.05489 4.80176 0.255613 -1.4178 -2.61138
0.205 -6.89852 -7.01776 4.79045 0.255338 -1.53052 -4.52195 -6.89817 -7.65673 4.78745 0.24486 -1.52978 -4.5527 -6.89799 -7.88693 4.78366 0.241135 -1.52957 -4.62128 -6.89797 -7.90498 4.78327 0.241001 -1.52956 -4.63351 -6.89809 -7.70084 4.78603 0.244417 -1.52975 -4.59558 -6.89823 -7.06442 4.7905 0.255015 -1.53039 -4.57542 -6.89951 -6.73832 4.82553 0.263807 -1.53085 -3.74176 -6.9003 -6.2091 4.8474 0.278165 -1.53162 -3.18999 -6.9009 -5.96193 4.86215 0.287072 -1.53207 -2.72813 -6.90129 -5.95845 4.86612 0.289171 -1.53226 -2.72323
0.255 -7.22059 -7.4158 4.74258 0.259453 -1.63705 -5.49448 -7.22007 -8.42388 4.73874 0.245037 -1.63554 -5.53574 -7.21962 -8.85257 4.73184 0.239297 -1.63504 -5.62837 -7.21956 -8.91593 4.73032 0.239018 -1.63502 -5.6729 -7.21986 -8.5787 4.73429 0.244262 -1.63547 -5.69033 -7.2204 -7.58593 4.74587 0.259686 -1.63693 -5.70429 -7.22448 -7.07822 4.82578 0.275326 -1.63813 -4.42898 -7.22702 -6.27321 4.88142 0.301576 -1.64013 -3.55899 -7.2287 -5.90407 4.91588 0.319327 -1.64138 -2.83338 -7.22932 -5.89771 4.92268 0.323108 -1.64175 -2.82294
0.305 -7.52238 -7.67242 4.65022 0.258409 -1.73678 -6.32275 -7.52166 -9.04672 4.64652 0.241606 -1.73431 -6.34679 -7.52078 -9.72482 4.63793 0.23435 -1.73341 -6.43748 -7.52059 -9.87871 4.63441 0.233928 -1.73338 -6.54472 -7.52107 -9.41901 4.63716 0.2405 -1.73419 -6.72849 -7.52249 -8.08479 4.65811 0.259056 -1.73669 -6.86778 -7.53191 -7.42764 4.78353 0.281512 -1.73906 -5.13988 -7.53829 -6.36017 4.89207 0.320933 -1.74311 -3.93271 -7.5422 -5.87695 4.95935 0.349999 -1.74584 -2.92431 -7.54321 -5.86681 4.97165 0.3564 -1.74652 -2.90602
0.355 -7.80281 -7.7233 4.53757 0.255262 -1.82974 -6.93771 -7.80193 -9.41324 4.53526 0.236802 -1.82626 -6.90241 -7.80056 -10.3645 4.52683 0.228437 -1.8249 -6.94037 -7.80009 -10.6484 4.52115 0.227901 -1.82484 -7.12264 -7.80067 -10.0835 4.52189 0.235412 -1.82606 -7.59769 -7.8036 -8.45299 4.55294 0.255951 -1.82971 -7.99417 -7.82072 -7.72471 4.70717 0.284429 -1.83363 -5.83707 -7.83389 -6.45131 4.87787 0.336535 -1.84055 -4.29002 -7.84172 -5.87642 4.99174 0.378123 -1.84555 -2.99648 -7.84341 -5.86185 5.01333 0.388059 -1.84675 -2.96817
0.405 -8.06168 -7.59593 4.41894 0.252065 -1.91622 -7.35892 -8.06075 -9.53404 4.41879 0.23166 -1.91167 -7.22683 -8.05891 -10.7581 4.41188 0.22234 -1.90983 -7.15279 -8.05801 -11.1937 4.40443 0.22171 -1.90972 -7.38584 -8.05856 -10.5239 4.4037 0.229954 -1.91139 -8.2345 -8.06377 -8.6222 4.44419 0.25212 -1.91622 -9.02581 -8.09021 -7.91413 4.61181 0.28582 -1.92198 -6.50505 -8.11351 -6.5261 4.84126 0.349158 -1.93245 -4.6206 -8.12753 -5.89737 5.01279 0.403059 -1.94055 -3.04777 -8.13033 -5.8781 5.04807 0.417235 -1.94254 -3.00757
0.455 -8.2992 -7.3527 4.30032 0.250252 -1.99658 -7.64027 -8.2984 -9.47801 4.30279 0.226756 -1.9909 -7.39077 -8.29621 -10.9607 4.29855 0.216358 -1.98854 -7.15835 -8.29475 -11.5561 4.28991 0.215623 -1.9884 -7.39128 -8.29518 -10.7706 4.28803 0.224533 -1.99052 -8.6296 -8.30342 -8.58182 4.33634 0.248536 -1.99655 -9.92768 -8.34023 -7.95846 4.50959 0.286934 -2.00437 -7.14304 -8.37698 -6.56198 4.78724 0.359856 -2.01893 -4.92647 -8.39988 -5.93195 5.02299 0.424574 -2.03083 -3.08057 -8.4044 -5.90822 5.07627 0.443349 -2.03391 -3.02689
