50.02 0.00863032 0.203369 0.998958 0.869778 1 1 0.0008631 1.23778e-07 0.406274 0.999901
50.03 0.00862421 0.203122 0.998958 0.869773 1 1 0.00086319 1.23761e-07 0.414112 0.999898
50.04 0.0086181 0.202875 0.998959 0.86977 1 1 0.000863291 1.23743e-07 0.422142 0.999894
50.05 0.00861201 0.202628 0.99896 0.869768 1 1 0.000863403 1.23723e-07 0.43036 0.999891
50.06 0.00860593 0.202382 0.998961 0.869767 1 1 0.000863525 1.23702e-07 0.43876 0.999887
50.07 0.00859987 0.202137 0.998962 0.869766 1 1 0.000863657 1.23679e-07 0.447337 0.999883
50.08 0.00859384 0.201893 0.998963 0.869767 1 1 0.000863799 1.23654e-07 0.456085 0.999878
50.09 0.00858785 0.20165 0.998964 0.869768 1 1 0.000863951 1.23628e-07 0.464997 0.999874
50.1 0.0085819 0.201409 0.998965 0.869771 1 1 0.000864114 1.23601e-07 0.474065 0.999869
50.11 0.008576 0.201169 0.998966 0.869774 1 1 0.000864286 1.23572e-07 0.483282 0.999863
50.12 0.00857015 0.200932 0.998966 0.869778 1 1 0.000864467 1.23542e-07 0.49264 0.999857
50.13 0.00856436 0.200697 0.998967 0.869783 1 1 0.000864659 1.23511e-07 0.50213 0.999851
50.14 0.00855864 0.200465 0.998968 0.869789 1 1 0.000864859 1.23478e-07 0.511744 0.999844
50.15 0.00855298 0.200235 0.998969 0.869796 1 1 0.000865069 1.23444e-07 0.521471 0.999837
50.16 0.00854741 0.200009 0.99897 0.869804 1 1 0.000865288 1.23409e-07 0.531302 0.999829
50.17 0.00854192 0.199785 0.998971 0.869813 1 1 0.000865515 1.23373e-07 0.541228 0.999821
50.18 0.00853652 0.199566 0.998971 0.869823 1 1 0.000865751 1.23335e-07 0.551236 0.999812
50.19 0.00853121 0.199349 0.998972 0.869833 1 1 0.000865996 1.23297e-07 0.561317 0.999802
50.2 0.008526 0.199137 0.998973 0.869845 1 1 0.000866248 1.23257e-07 0.57146 0.999791
50.21 0.00852089 0.198929 0.998974 0.869857 1 1 0.000866509 1.23216e-07 0.581653 0.99978
50.22 0.0085159 0.198726 0.998974 0.86987 1 1 0.000866777 1.23175e-07 0.591886 0.999767
50.23 0.00851102 0.198527 0.998975 0.869884 1 1 0.000867052 1.23132e-07 0.602146 0.999754
