1 0 0 -0 -0 0 0 0 0
2 -0.0372284 -0.271579 -0.0417304 -0.218573 -0.0163943 -0.131594 0.0782625 53.1255
3 0 0 -0 -0 0 0 0 0
4 0.309299 -0.18047 0.241954 -1.16485 0.133321 -0.0733512 -0.403272 4.08755
5 -0.157128 0.562136 0.0317916 -0.363653 -0.0782454 0.202066 -0.110283 -0.0413487
6 -0.0315479 -0.328554 -0.0192489 -7.05132 -0.0143656 -0.153479 0.0774353 -0.532204
7 0 0 -0 -0 0 0 0 0
8 0 0 -0 -0 0 0 0 0
9 0.0105037 -0.0138949 -0.00516786 -0.0246336 0.00469954 -0.00514837 0.0189239 0.0240508
10 0 0 -0 -0 0 0 0 0
11 0 0 -0 -0 0 0 0 0
12 0 0 -0 -0 0 0 0 0
13 0 0 -0 -0 0 0 0 0
14 0 0 -0 -0 0 0 0 0
15 0 0 -0 -0 0 0 0 0
16 0 0 -0 -0 0 0 0 0
17 0 0.377223 -0 -0 0 0.138541 0 0
18 0 0 -0 -0 0 0 0 0
19 0.145053 0.0510799 0.00227472 0.0222757 0.0652744 0.0226927 -0.00813274 -0.0207148
20 0 0 -0 -0 0 0 0 0
21 0 0 -0 -0 0 0 0 0
22 0 0 -0 -0 0 0 0 0
23 0 0 -0 -0 0 0 0 0
24 0.0157185 -0.214271 -0 -0 0.00760311 -0.0978339 0 0
25 0 0 -0 -0 0 0 0 0
26 0 0 -0 -0 0 0 0 0
27 0 0 -0 -0 0 0 0 0
28 0 0 -0 -0 0 0 0 0
29 0 0 -0 -0 0 0 0 0
30 0 0 -0 -0 0 0 0 0
31 0 0 -0 -0 0 0 0 0
32 0 0 -0 -0 0 0 0 0
33 0 0 -0 -0 0 0 0 0
34 0 0 -0 -0 0 0 0 0
35 0 0 -0 -0 0 0 0 0
36 0 0 -0 -0 0 0 0 0
37 0 0 -0 -0 0 0 0 0
38 0 0 -0 -0 0 0 0 0
39 0 0 -0 -0 0 0 0 0
40 0 0 -0 -0 0 0 0 0
41 0 0.0216183 -0 -0 0 0.00859672 0 0
42 0 0 -0 -0 0 0 0 0
43 0 0 -0 -0 0 0 0 0
44 0 0 -0 -0 0 0 0 0
45 0 0 -0 -0 0 0 0 0
46 0 0 -0 -0 0 0 0 0
47 0 0 -0 -0 0 0 0 0
48 0 0 -0 -0 0 0 0 0
49 0 -5.60719e-05 -0 -0 0 -2.25854e-05 0 0
50 0 0 -0 -0 0 0 0 0
51 0 0 -0 -0 0 0 0 0
52 0 0 -0 -0 0 0 0 0
53 0 0 -0 -0 0 0 0 0
54 0 0 -0 -0 0 0 0 0
55 0 0 -0 -0 0 0 0 0
56 0 0 -0 -0 0 0 0 0
57 0 0 -0 -0 0 0 0 0
58 0 0 -0 -0 0 0 0 0
59 0 0 -0 -0 0 0 0 0
60 0 0 -0 -0 0 0 0 0
61 0 0 -0 -0 0 0 0 0
62 0 0 -0 -0 0 0 0 0
63 0 0 -0 -0 0 0 0 0
64 0 0 -0 -0 0 0 0 0
65 0 0 -0 -0 0 0 0 0
66 0 0 -0 -0 0 0 0 0
67 0 0 -0 -0 0 0 0 0
68 0 0 -0 -0 0 0 0 0
69 0 0 -0 -0 0 0 0 0
70 0 0 -0 -0 0 0 0 0
71 0 0 -0 -0 0 0 0 0
72 0 0 -0 -0 0 0 0 0
73 0 0 -0 -0 0 0 0 0
74 0 0 -0 -0 0 0 0 0
75 0 0 -0 -0 0 0 0 0
76 0 0 -0 -0 0 0 0 0
77 0 0 -0 -0 0 0 0 0
78 0 0 -0 -0 0 0 0 0
79 0 0 -0 -0 0 0 0 0
80 0 0 -0 -0 0 0 0 0
81 0 0 -0 -0 0 0 0 0
82 0 0 -0 -0 0 0 0 0
83 0 0 -0 -0 0 0 0 0
84 -0.0800463 0 -0 0.533973 -0.0390306 0 0 -0.518354
85 0 0 -0 -0 0 0 0 0
86 0 0 -0 -0 0 0 0 0
87 0 0 -0 -0 0 0 0 0
88 0 0 -0 -0 0 0 0 0
89 0 0 -0 -0 0 0 0 0
90 0 0 -0 -0 0 0 0 0
91 0 0 -0 -0 0 0 0 0
92 0 0 -0 -0 0 0 0 0
93 0 0 -0 -0 0 0 0 0
94 0 0 -0 -0 0 0 0 0
95 0 0 -0 -0 0 0 0 0
96 0 0 -0 -0 0 0 0 0
97 0 0 -0 -0 0 0 0 0
98 0 0 -0 -0 0 0 0 0
99 0 0 -0 -0 0 0 0 0
100 0 0 -0 -0 0 0 0 0
