0.005 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735 -5.47564 -6.60254 4.56954 0.16842 -1.05459 -2.24735
0.055 -5.86689 -6.40098 4.65873 0.196807 -1.18617 -2.44058 -5.86689 -6.42084 4.65874 0.196698 -1.18617 -2.43995 -5.86689 -6.4241 4.65872 0.196681 -1.18617 -2.44277 -5.86689 -6.42411 4.65872 0.196681 -1.18617 -2.44277 -5.86689 -6.42086 4.65874 0.196698 -1.18617 -2.43997 -5.86689 -6.40098 4.65873 0.196808 -1.18617 -2.44058 -5.86689 -6.39223 4.65889 0.196856 -1.18617 -2.4109 -5.86689 -6.37317 4.65898 0.196963 -1.18617 -2.39451 -5.86689 -6.36564 4.65906 0.197003 -1.18617 -2.37954 -5.86689 -6.36563 4.65906 0.197003 -1.18617 -2.37952
0.105 -6.24098 -6.41034 4.73452 0.224692 -1.3116 -2.89496 -6.24098 -6.54013 4.73451 0.223099 -1.31156 -2.89817 -6.24098 -6.57104 4.73425 0.222738 -1.31156 -2.91494 -6.24098 -6.5715 4.73425 0.222735 -1.31156 -2.91521 -6.24098 -6.54124 4.7345 0.223093 -1.31156 -2.8992 -6.24098 -6.41142 4.73459 0.224709 -1.3116 -2.89614 -6.24104 -6.34923 4.73724 0.225567 -1.31162 -2.71341 -6.24107 -6.23111 4.7388 0.227206 -1.31166 -2.60199 -6.24109 -6.17699 4.74007 0.227974 -1.31168 -2.50483 -6.24109 -6.17685 4.7401 0.227995 -1.31168 -2.50457
0.155 -6.59836 -6.65591 4.78334 0.2466 -1.43096 -3.65685 -6.59835 -7.01254 4.78292 0.240639 -1.4307 -3.67259 -6.59831 -7.11986 4.78153 0.238994 -1.43063 -3.71446 -6.59831 -7.1246 4.78148 0.238959 -1.43063 -3.71744 -6.59835 -7.02401 4.78275 0.240557 -1.43069 -3.68346 -6.59837 -6.66818 4.78368 0.246662 -1.43096 -3.6718 -6.59879 -6.49198 4.79812 0.250466 -1.43112 -3.19186 -6.59903 -6.18484 4.80646 0.257366 -1.4314 -2.88598 -6.59922 -6.04073 4.81257 0.261025 -1.43155 -2.62517 -6.59923 -6.04011 4.81285 0.261191 -1.43155 -2.62404
0.205 -6.93838 -7.04182 4.78349 0.259224 -1.54397 -4.6052 -6.93832 -7.72269 4.78165 0.247202 -1.54312 -4.63788 -6.93814 -7.96985 4.77735 0.243512 -1.54289 -4.70888 -6.93813 -7.99384 4.77684 0.243371 -1.54288 -4.72486 -6.93828 -7.78105 4.77998 0.246836 -1.54311 -4.69448 -6.93841 -7.10666 4.78361 0.259202 -1.54397 -4.68614 -6.94024 -6.76865 4.83077 0.268421 -1.54454 -3.80647 -6.94128 -6.20858 4.85828 0.285269 -1.54557 -3.22701 -6.94201 -5.94894 4.87641 0.295141 -1.54614 -2.73777 -6.94204 -5.94733 4.87749 0.295774 -1.54617 -2.73481
0.255 -7.25932 -7.41028 4.72534 0.263805 -1.65028 -5.54868 -7.25912 -8.46535 4.72151 0.246387 -1.64849 -5.58776 -7.25862 -8.9168 4.71367 0.240686 -1.64795 -5.67881 -7.25855 -8.99426 4.71161 0.240371 -1.64793 -5.73175 -7.25888 -8.65347 4.71478 0.245492 -1.64843 -5.77501 -7.2593 -7.62197 4.72279 0.263221 -1.65027 -5.82136 -7.26479 -7.11206 4.82345 0.279117 -1.65165 -4.49441 -7.26798 -6.27424 4.89005 0.309527 -1.65422 -3.59638 -7.27002 -5.89312 4.9313 0.329124 -1.65575 -2.83861 -7.27015 -5.88999 4.93438 0.330761 -1.65586 -2.83267
0.305 -7.55944 -7.62182 4.62714 0.263681 -1.74976 -6.33578 -7.55898 -9.04164 4.62234 0.24221 -1.74675 -6.34983 -7.55799 -9.74495 4.61253 0.234857 -1.74581 -6.42859 -7.55773 -9.92161 4.60791 0.234356 -1.74577 -6.54598 -7.55816 -9.46502 4.60776 0.240647 -1.74662 -6.7812 -7.55917 -8.09581 4.62097 0.261812 -1.74967 -6.98575 -7.57136 -7.45642 4.77253 0.2842 -1.75227 -5.2004 -7.57907 -6.35998 4.89837 0.329699 -1.75733 -3.96714 -7.58372 -5.86764 4.977 0.361832 -1.76059 -2.92304 -7.58406 -5.86251 4.98399 0.36517 -1.76086 -2.91293
0.355 -7.83783 -7.63066 4.51165 0.261775 -1.84251 -6.91543 -7.8371 -9.36251 4.50732 0.236855 -1.83813 -6.86179 -7.83551 -10.3385 4.4975 0.228093 -1.83671 -6.87238 -7.83489 -10.6512 4.49004 0.227417 -1.83663 -7.05818 -7.83514 -10.0911 4.48513 0.234536 -1.83788 -7.60708 -7.83713 -8.424 4.50446 0.257766 -1.84223 -8.10909 -7.85876 -7.73914 4.68721 0.285817 -1.84641 -5.89081 -7.87432 -6.44645 4.88235 0.346063 -1.85488 -4.31954 -7.88349 -5.86825 5.01338 0.392288 -1.86078 -2.98691 -7.88424 -5.86081 5.027 0.398069 -1.86136 -2.97153
0.405 -8.09436 -7.47316 4.39123 0.260137 -1.92883 -7.31518 -8.0934 -9.45181 4.3885 0.231305 -1.92293 -7.15907 -8.09125 -10.6996 4.38031 0.221162 -1.92098 -7.04177 -8.09003 -11.1681 4.37014 0.220307 -1.92085 -7.26369 -8.08976 -10.4994 4.36031 0.228075 -1.92251 -8.19798 -8.09324 -8.54769 4.38607 0.252857 -1.9282 -9.13598 -8.12621 -7.90648 4.58221 0.285794 -1.9342 -6.55309 -8.15348 -6.51238 4.84422 0.359402 -1.94688 -4.64538 -8.16968 -5.88947 5.04067 0.419773 -1.95637 -3.02897 -8.17117 -5.8796 5.0642 0.428668 -1.95746 -3.00733
0.455 -8.32925 -7.21087 4.27106 0.260349 -2.00914 -7.58792 -8.32822 -9.37874 4.27079 0.226083 -2.00153 -7.31173 -8.32564 -10.8855 4.26584 0.21436 -1.99899 -7.0225 -8.32361 -11.5177 4.25331 0.213297 -1.99881 -7.22601 -8.3224 -10.728 4.2382 0.221639 -2.00089 -8.55144 -8.32792 -8.46564 4.26976 0.248145 -2.00792 -10.0348 -8.37341 -7.92496 4.46934 0.285487 -2.01592 -7.18819 -8.41636 -6.53543 4.78808 0.370846 -2.03346 -4.94842 -8.44264 -5.92305 5.0594 0.443949 -2.04736 -3.05263 -8.44529 -5.91091 5.09638 0.456448 -2.04921 -3.02389
