0.01 0.37897 0.444854 0.39998 -0.0634388 -0.0944091 -0.320235 0.288642 0.211163 -0.0600521 0.244976 -0.4228 0.396011 -0.230711 0.317805 0.386581 0.526763 0.0439694 0.457089 0.0867533 0.361854 -0.462727 0.291892 0.314447 0.0636535 -0.336541 0.190259 0.055396 0.269382 -0.320448 -0.17652 -0.0437625 0.503812 -0.497838 0.0170346 0.269548 0.0111514
0.05 0.078918 0.539037 0.0849015 0.232218 -0.3493 0.0339345 -0.0263262 0.466032 -0.354453 0.467189 -0.647214 0.596747 -0.480877 0.573513 0.0497231 0.710627 -0.246356 0.656475 -0.226922 0.546448 -0.686735 0.521533 -0.0295619 0.340182 -0.574529 0.401917 -0.237382 0.480051 -0.58401 0.128397 -0.345897 0.619235 -0.735942 0.30599 -0.0556131 0.304698
0.09 -0.180863 0.669986 -0.187869 0.486713 -0.567609 0.33439 -0.293108 0.691497 -0.600861 0.675506 -0.836512 0.786922 -0.692868 0.79673 -0.236611 0.886541 -0.494013 0.845447 -0.495222 0.730056 -0.880049 0.729073 -0.326619 0.585264 -0.788625 0.604502 -0.498383 0.675775 -0.819756 0.399275 -0.62066 0.759086 -0.955769 0.556252 -0.35558 0.558632
0.13 -0.389467 0.818605 -0.408059 0.710179 -0.736568 0.594188 -0.501581 0.893552 -0.788275 0.869196 -0.977475 0.965562 -0.854283 0.994564 -0.461651 1.05275 -0.687577 1.0227 -0.708718 0.90761 -1.0308 0.918038 -0.568712 0.804425 -0.969091 0.796151 -0.719091 0.857779 -1.02079 0.641306 -0.863343 0.909307 -1.15168 0.776569 -0.627005 0.781944
0.17 -0.546711 0.973221 -0.576822 0.909317 -0.856392 0.822235 -0.654871 1.07628 -0.91929 1.04833 -1.07105 1.13241 -0.966887 1.17187 -0.628322 1.20848 -0.829198 1.18787 -0.870301 1.07636 -1.13984 1.09089 -0.759297 1.00174 -1.11629 0.975972 -0.90093 1.02701 -1.18894 0.858608 -1.0754 1.0613 -1.32446 0.972881 -0.871517 0.980801
0.21 -0.656753 1.12683 -0.699501 1.08866 -0.932403 1.02474 -0.761512 1.24256 -1.00211 1.21342 -1.12434 1.28763 -1.03863 1.33206 -0.745463 1.35359 -0.926943 1.34112 -0.988194 1.23499 -1.21367 1.24944 -0.90668 1.18028 -1.23504 1.14371 -1.04965 1.18426 -1.32966 1.05449 -1.26085 1.20994 -1.47755 1.14932 -1.09269 1.15953
0.25 -0.724449 1.27537 -0.781999 1.25134 -0.970929 1.20613 -0.830979 1.3945 -1.04606 1.36522 -1.146 1.43166 -1.07895 1.47761 -0.823252 1.48825 -0.990274 1.48292 -1.07179 1.38302 -1.26024 1.39508 -1.02009 1.34248 -1.33127 1.29951 -1.17201 1.3302 -1.44908 1.23165 -1.42417 1.35225 -1.6149 1.30885 -1.29436 1.32125
0.29 -0.753837 1.4166 -0.829254 1.39963 -0.977512 1.36967 -0.87165 1.53372 -1.05953 1.50458 -1.14403 1.56505 -1.09658 1.61039 -0.871037 1.61287 -1.02791 1.6139 -1.12969 1.52048 -1.28696 1.52895 -1.1079 1.49024 -1.41046 1.44378 -1.2742 1.46548 -1.55261 1.39231 -1.56943 1.48667 -1.74004 1.45366 -1.4799 1.46829
0.33 -0.747746 1.54942 -0.844854 1.53523 -0.956378 1.51785 -0.890138 1.66148 -1.04924 1.63237 -1.12496 1.68842 -1.09869 1.73185 -0.896536 1.72793 -1.04703 1.73472 -1.169 1.64771 -1.29991 1.65201 -1.17693 1.62514 -1.47708 1.57705 -1.36132 1.59069 -1.6446 1.53832 -1.69997 1.61246 -1.85579 1.58546 -1.65203 1.60243
0.37 -0.70795 1.67343 -0.831191 1.65946 -0.910506 1.65258 -0.891274 1.77884 -1.02025 1.74946 -1.09376 1.8024 -1.09075 1.84316 -0.905725 1.83398 -1.05314 1.84606 -1.19523 1.76518 -1.30375 1.76512 -1.23245 1.7485 -1.53452 1.69994 -1.4373 1.7064 -1.72828 1.67126 -1.81839 1.72941 -1.96428 1.70559 -1.81287 1.72509
