0.01 0.998962 0.0016564 0.998983 0.000997016 0.998335 0.000771393 0.998864 0.00131167 0.998391 0.00135672 0.997689 0.00157756 0.998092 0.00145906 0.99897 0.00179753 0.998549 0.00167675 0.99861 0.00152467 0.997595 0.00142179 0.998893 0.00113198 0.997879 0.00128457 0.998566 0.00139019 0.997913 0.000890509 0.998417 0.00175681 0.997509 0.00108048 0.998842 0.00107415 0.999994 0.0420933 0.999994 0.0245271
0.05 0.998599 0.00181969 0.998608 0.00133954 0.997852 0.00109887 0.998444 0.00169179 0.997841 0.00169375 0.997109 0.00192758 0.997551 0.0018834 0.998558 0.00215958 0.998062 0.00204598 0.998099 0.0018332 0.996993 0.00178817 0.998439 0.00149203 0.997311 0.00158689 0.998079 0.00171563 0.997285 0.0012076 0.997859 0.00197133 0.996841 0.00144195 0.998398 0.00144009 0.999988 0.0587991 0.999988 0.03584
0.09 0.998184 0.00207375 0.998172 0.00172708 0.997329 0.00148342 0.997969 0.00211875 0.997239 0.0020852 0.996508 0.00233039 0.996974 0.00235331 0.998081 0.00257387 0.997518 0.0024705 0.997515 0.00220185 0.996354 0.0021997 0.9979 0.00190562 0.996671 0.00194256 0.997508 0.00208576 0.996566 0.00158271 0.997184 0.00226657 0.996068 0.00185122 0.997839 0.00185563 0.999979 0.0803385 0.999977 0.0509458
0.13 0.997764 0.00240523 0.997722 0.00215861 0.996839 0.00192266 0.9975 0.00259193 0.996672 0.00252973 0.995982 0.00278493 0.996446 0.00286664 0.997597 0.00303786 0.99699 0.0029482 0.996926 0.00262853 0.995763 0.00265601 0.997326 0.00237144 0.996015 0.00235195 0.996894 0.00250108 0.995805 0.00201524 0.996414 0.00263299 0.995221 0.00230645 0.997166 0.00231885 0.999962 0.107286 0.999959 0.0704126
0.17 0.997384 0.00280628 0.997305 0.00263301 0.996438 0.00241396 0.997087 0.00310997 0.996208 0.00302451 0.995589 0.00328893 0.996024 0.00342086 0.997163 0.00354797 0.996534 0.00347583 0.996389 0.00311023 0.995277 0.0031556 0.996767 0.00288722 0.995386 0.00281399 0.996277 0.0029609 0.99504 0.00250315 0.99557 0.00306388 0.994325 0.00280533 0.996384 0.00282757 0.999934 0.139931 0.99993 0.0945786
0.21 0.997081 0.0032707 0.996954 0.00314857 0.996158 0.00295419 0.99676 0.00367051 0.995882 0.00356549 0.995349 0.00383909 0.99573 0.00401278 0.996811 0.00409975 0.996179 0.00404916 0.995939 0.00364293 0.994917 0.00369574 0.996255 0.00344967 0.994808 0.00332619 0.995682 0.00346335 0.994295 0.00304315 0.994673 0.00355311 0.993392 0.00334484 0.995493 0.00337905 0.999891 0.178149 0.999883 0.123433
0.25 0.996877 0.00379248 0.996693 0.00370276 0.996008 0.00353965 0.996528 0.00427025 0.995698 0.00414754 0.995248 0.0044312 0.995555 0.00463857 0.996554 0.00468798 0.99593 0.00466318 0.995586 0.00422168 0.994676 0.00427268 0.995808 0.00405465 0.994286 0.00388479 0.995123 0.00400538 0.993576 0.00363083 0.993733 0.00409432 0.992426 0.00392108 0.994492 0.00396983 0.999824 0.221338 0.999812 0.156545
0.29 0.996784 0.00436525 0.996533 0.00429213 0.995982 0.00416595 0.996384 0.00490498 0.99564 0.00476477 0.995257 0.0050603 0.995476 0.00529375 0.996386 0.00530684 0.995775 0.00531227 0.995324 0.00484078 0.994532 0.00488173 0.995425 0.00469727 0.993818 0.00448498 0.994601 0.00458292 0.992881 0.00426092 0.992761 0.00468062 0.991425 0.00452932 0.993377 0.00459576 0.999725 0.26843 0.999705 0.193074
0.33 0.996804 0.00498222 0.996479 0.00491237 0.996065 0.00482811 0.996317 0.00556972 0.995684 0.00541076 0.995346 0.00572092 0.995466 0.00597333 0.996293 0.00595013 0.995694 0.00599038 0.995138 0.00549394 0.994461 0.00551752 0.995099 0.00537203 0.993395 0.00512108 0.994113 0.00519103 0.9922 0.00492749 0.991759 0.0053047 0.990383 0.0051641 0.992142 0.00525202 0.999581 0.318019 0.999551 0.231873
0.37 0.996928 0.00563627 0.996527 0.00555852 0.996241 0.00552065 0.996312 0.00625893 0.995807 0.0060788 0.995489 0.00640722 0.995502 0.00667196 0.996259 0.00661142 0.995667 0.00669124 0.995009 0.00617455 0.99444 0.00617419 0.994821 0.006073 0.993007 0.00578683 0.993651 0.00582412 0.991525 0.00562413 0.990733 0.00595889 0.989293 0.00581945 0.990784 0.00593332 0.999377 0.368547 0.999331 0.271666
0.41 0.997142 0.00632011 0.996667 0.00622504 0.996489 0.00623776 0.99636 0.00696674 0.995987 0.00676215 0.995664 0.00711318 0.995564 0.00738407 0.996269 0.00728433 0.99568 0.0074085 0.994923 0.00687585 0.994451 0.00684562 0.994579 0.00679402 0.992646 0.00647562 0.993209 0.00647617 0.990846 0.00634422 0.989684 0.00663544 0.988148 0.00648912 0.989296 0.00663402 0.999096 0.418515 0.999027 0.311221
0.45 0.997425 0.00702649 0.996886 0.00690614 0.99679 0.00697346 0.996448 0.00768713 0.996207 0.00745422 0.995857 0.00783281 0.995641 0.00810408 0.996311 0.00796264 0.995718 0.00813595 0.994866 0.00759114 0.99448 0.00752568 0.994364 0.00752886 0.992304 0.00718069 0.99278 0.00714097 0.990157 0.0070811 0.988614 0.00732666 0.986943 0.0071668 0.987674 0.00734837 0.998715 0.466644 0.998615 0.349498
