50.01 -0.134969 -1.82227 0.0134396 -14.6413 -1.52534 4.17979 -0.331711 -3.17537 0.0302717 2.82421 -13.8805 -2.22482 4.44894 -0.745397 -2.89697 5.276 5.53743 -13.2875 0.245364 -0.899115 -3.36068 4.81148 5.97302 1.99158 -14.839 4.08272 -1.42994 -3.03414 5.03493 3.09134 -0.277044 -14.6003 3.51641 1.88943 2.34114 1.91526 -1.28164 1.49855 -15.0738 0.342717 6.70861 2.68725 -4.90257 4.98792 6.95623 -9.28788 -1.23056 -3.51615 0.140355
50.06 0.156011 -1.64829 0.00871901 -14.6635 -1.2409 4.10294 -0.31467 -2.95773 -0.341266 2.75312 -13.9851 -2.28028 4.61992 -0.558276 -3.24267 4.97098 5.39919 -13.2444 -0.130415 -0.492808 -3.09154 4.41012 6.20822 2.45732 -14.7436 4.08599 -1.64295 -3.39283 5.23184 3.44752 -0.284973 -14.5944 3.64263 1.58991 2.04551 2.38791 -1.14537 1.31519 -15.0556 0.903787 6.61612 2.83589 -4.8408 4.74423 6.65857 -9.30034 -1.32297 -3.32058 0.473112
50.11 0.471667 -1.43008 0.00580829 -14.6816 -0.904077 4.02772 -0.303383 -2.7282 -0.684749 2.69017 -14.0822 -2.32246 4.74753 -0.365184 -3.53491 4.65926 5.20937 -13.233 -0.460218 -0.0685345 -2.83803 3.95152 6.42134 2.90096 -14.6411 4.08185 -1.82595 -3.71637 5.39949 3.8008 -0.232348 -14.5922 3.74531 1.28666 1.73087 2.82262 -0.990846 1.12669 -15.0363 1.43352 6.47193 2.93363 -4.7376 4.51271 6.33958 -9.32012 -1.40289 -3.13404 0.80234
50.16 0.813057 -1.16894 0.00472687 -14.6955 -0.51317 3.95281 -0.299971 -2.48603 -0.996991 2.63287 -14.1718 -2.35026 4.83335 -0.163181 -3.77404 4.33706 4.97856 -13.2556 -0.749578 0.370231 -2.59888 3.44342 6.60861 3.31937 -14.5321 4.06488 -1.97457 -4.00318 5.53351 4.1466 -0.114537 -14.5925 3.8289 0.980238 1.39661 3.2192 -0.827361 0.934403 -15.0168 1.90688 6.2712 2.97345 -4.59832 4.29297 6.00307 -9.34678 -1.47189 -2.95602 1.12185
50.21 1.17572 -0.868744 0.0057038 -14.7053 -0.0733383 3.87555 -0.308213 -2.22939 -1.27478 2.57886 -14.2541 -2.36172 4.88007 0.0496757 -3.95845 4.00178 4.72 -13.3128 -1.0038 0.820222 -2.37098 2.8974 6.76368 3.71312 -14.4168 4.02552 -2.08456 -4.25103 5.62947 4.48143 0.0666821 -14.5923 3.89694 0.671031 1.04307 3.58129 -0.659259 0.739161 -14.9977 2.31292 6.01517 2.9561 -4.42474 4.08465 5.65227 -9.37977 -1.53124 -2.78597 1.42746
50.26 1.54866 -0.536884 0.00924006 -14.7111 0.400865 3.7915 -0.334415 -1.95638 -1.51454 2.52557 -14.3293 -2.3538 4.89148 0.273463 -4.08663 3.65232 4.44908 -13.4017 -1.22772 1.27652 -2.15055 2.32305 6.87661 4.08352 -14.2951 3.94799 -2.15185 -4.45629 5.68358 4.80296 0.302797 -14.5878 3.95236 0.359732 0.671759 3.91311 -0.487453 0.541599 -14.9802 2.65177 5.71194 2.89033 -4.21458 3.88752 5.29131 -9.41844 -1.58182 -2.62335 1.71682
50.31 1.91679 -0.183545 0.016184 -14.7128 0.886654 3.69411 -0.387953 -1.66542 -1.71229 2.46972 -14.3978 -2.32198 4.87246 0.505854 -4.15907 3.28837 4.18126 -13.5163 -1.42554 1.73189 -1.93382 1.72295 6.93291 4.43014 -14.167 3.80855 -2.17213 -4.61318 5.69215 5.10972 0.580477 -14.5758 3.99756 0.04772 0.284414 4.21823 -0.310544 0.342461 -14.9653 2.93008 5.37372 2.78851 -3.96238 3.70153 4.9258 -9.46212 -1.62409 -2.46763 1.9889
50.36 2.26596 0.180805 0.0278147 -14.7106 1.35841 3.57533 -0.480389 -1.35488 -1.86368 2.40721 -14.4598 -2.25986 4.82863 0.742408 -4.17882 2.90939 3.92935 -13.6484 -1.60083 2.17765 -1.71728 1.09179 6.91366 4.74889 -14.0339 3.57627 -2.13947 -4.71265 5.65012 5.4009 0.885209 -14.5542 4.03449 -0.262837 -0.118347 4.49946 -0.125575 0.142841 -14.9542 3.15694 5.01328 2.66166 -3.66164 3.52692 4.56222 -9.5102 -1.65785 -2.31827 2.24353
50.41 2.58688 0.547984 0.0459427 -14.7045 1.79426 3.42778 -0.622232 -1.02218 -1.96394 2.33337 -14.5156 -2.15865 4.76584 0.977628 -4.14986 2.51402 3.70164 -13.7893 -1.75647 2.60517 -1.49774 0.424116 6.79986 5.03071 -13.899 3.22276 -2.04446 -4.74095 5.55012 5.6761 1.2054 -14.5223 4.06468 -0.56915 -0.537542 4.75902 0.071273 -0.0556905 -14.9481 3.34137 4.64174 2.51655 -3.30763 3.36449 4.20679 -9.5621 -1.68189 -2.17477 2.48103
50.46 2.87558 0.913301 0.0730525 -14.6943 2.18048 3.24764 -0.81849 -0.663103 -2.0075 2.24398 -14.5656 -2.00672 4.68959 1.20615 -4.07407 2.10132 3.50188 -13.9313 -1.8947 3.00673 -1.27208 -0.266893 6.5849 5.26113 -13.7669 2.74689 -1.87408 -4.68096 5.38403 5.93515 1.53543 -14.4806 4.08922 -0.868165 -0.973882 4.99868 0.283933 -0.251082 -14.9485 3.49123 4.26776 2.35529 -2.89971 3.21591 3.86455 -9.61727 -1.6934 -2.03664 2.70198
50.51 3.13183 1.27542 0.112532 -14.6796 2.51222 3.03608 -1.06623 -0.272015 -1.98748 2.13654 -14.6099 -1.78945 4.6046 1.42345 -3.95032 1.67397 3.33037 -14.0682 -2.01716 3.37553 -1.03696 -0.938607 6.28692 5.42224 -13.6438 2.19439 -1.61931 -4.52342 5.14722 6.17801 1.87555 -14.4302 4.10868 -1.15695 -1.42311 5.21989 0.515731 -0.440898 -14.9571 3.61302 3.8976 2.17651 -2.44158 3.08445 3.53914 -9.6752 -1.68687 -1.90345 2.90707
50.56 3.3571 1.63554 0.169041 -14.6597 2.79145 2.79819 -1.35598 0.15625 -1.89628 2.01086 -14.6489 -1.49088 4.51451 1.62596 -3.77753 1.24025 3.18516 -14.1957 -2.12486 3.70533 -0.788861 -1.54554 5.93942 5.49813 -13.5366 1.63186 -1.28703 -4.28236 4.84125 6.40454 2.22733 -14.3723 4.12304 -1.43297 -1.87369 5.42386 0.768973 -0.622412 -14.9756 3.71193 3.53551 1.9774 -1.93883 2.97595 3.23304 -9.73533 -1.65244 -1.77482 3.09701
50.61 3.55301 1.99624 0.249078 -14.6336 3.02386 2.54054 -1.67527 0.622268 -1.7285 1.8688 -14.6827 -1.099 4.42158 1.81061 -3.55843 0.811484 3.06274 -14.3114 -2.21822 3.9906 -0.524489 -2.06893 5.56954 5.48025 -13.4523 1.10431 -0.89817 -3.99017 4.47162 6.61441 2.5885 -14.308 4.13147 -1.69412 -2.31101 5.61155 1.04509 -0.792629 -15.006 3.79208 3.18407 1.75534 -1.39428 2.90042 2.94834 -9.79696 -1.57335 -1.65048 3.27238
50.66 3.72024 2.35997 0.361695 -14.5998 3.21635 2.26921 -2.01186 1.11642 -1.486 1.71339 -14.7117 -0.615432 4.32624 1.97399 -3.29919 0.398221 2.95854 -14.414 -2.29699 4.22699 -0.242057 -2.51099 5.19083 5.36971 -13.3975 0.62871 -0.473827 -3.67728 4.04532 6.80671 2.95313 -14.2377 4.13191 -1.93867 -2.7228 5.78357 1.34539 -0.948119 -15.0497 3.85668 2.84477 1.5086 -0.80288 2.8741 2.6878 -9.85914 -1.42261 -1.53039 3.43353
50.71 3.85747 2.72732 0.519118 -14.5563 3.37559 1.98876 -2.35537 1.61754 -1.18146 1.54791 -14.7362 -0.0632197 4.22642 2.11093 -3.00733 0.00890462 2.86742 -14.5035 -2.36023 4.41196 0.0570379 -2.8783 4.80775 5.17744 -13.3775 0.206906 -0.0277246 -3.36209 3.57077 6.97953 3.3152 -14.161 4.12024 -2.16493 -3.10054 5.94005 1.67227 -1.08457 -15.1063 3.90832 2.51844 1.23656 -0.149185 2.9213 2.45646 -9.92045 -1.16069 -1.41494 3.58025
50.76 3.95991 3.09612 0.736595 -14.5006 3.50743 1.70219 -2.69776 2.10144 -0.835413 1.37538 -14.7575 0.517598 4.11676 2.21309 -2.69058 -0.349623 2.78375 -14.5804 -2.40605 4.54525 0.367556 -3.1742 4.42077 4.9231 -13.3953 -0.164858 0.43271 -3.05277 3.05732 7.12911 3.67089 -14.0769 4.08904 -2.37084 -3.43817 6.08024 2.03002 -1.19588 -15.1737 3.94907 2.20596 0.939872 0.584353 3.07106 2.26419 -9.97858 -0.742839 -1.30555 3.71104
50.81 4.01707 3.46206 1.03069 -14.4302 3.61661 1.41119 -3.03315 2.55221 -0.468314 1.19827 -14.7773 1.08475 3.98862 2.26844 -2.35559 -0.671217 2.70124 -14.646 -2.43146 4.62925 0.681878 -3.39905 4.02919 4.63212 -13.4505 -0.491919 0.902444 -2.7517 2.51276 7.24882 4.01842 -13.9837 4.02583 -2.55322 -3.73026 6.20182 2.42307 -1.27257 -15.2473 3.9807 1.90914 0.620201 1.38404 3.33883 2.12826 -10.03 -0.15432 -1.20619 3.82137
50.86 4.00978 3.82018 1.41562 -14.3425 3.70669 1.11665 -3.3574 2.96487 -0.0950412 1.01856 -14.7986 1.60563 3.83218 2.26322 -2.00629 -0.949869 2.61296 -14.7012 -2.432 4.66888 0.992462 -3.55349 3.63198 4.33096 -13.5386 -0.779703 1.37563 -2.45857 1.93995 7.32775 4.3563 -13.8801 3.911 -2.70672 -3.97055 6.29976 2.84982 -1.29998 -15.3214 4.00476 1.63169 0.279497 2.17519 3.7022 2.07166 -10.0699 0.546096 -1.12616 3.90059
50.91 3.90619 4.16584 1.89825 -14.2353 3.77974 0.819265 -3.66763 3.34098 0.275884 0.837953 -14.8268 2.06137 3.64068 2.18613 -1.64299 -1.17956 2.51222 -14.7472 -2.40127 4.67095 1.29343 -3.64141 3.22762 4.04188 -13.6512 -1.03316 1.84453 -2.17172 1.33499 7.34971 4.68138 -13.7659 3.71704 -2.82215 -4.15077 6.36469 3.29798 -1.25813 -15.3891 4.02264 1.37948 -0.0811025 2.87057 4.11485 2.11309 -10.0931 1.25693 -1.08257 3.92992
50.96 3.65872 4.49454 2.47313 -14.1078 3.83545 0.520084 -3.96178 3.68398 0.640848 0.658211 -14.8701 2.44596 3.41379 2.03015 -1.26264 -1.35419 2.3943 -14.7852 -2.33015 4.64323 1.58089 -3.66968 2.81372 3.77959 -13.7783 -1.25657 2.30048 -1.88862 0.690553 7.29487 4.98752 -13.6427 3.41321 -2.88475 -4.25925 6.38265 3.74894 -1.12556 -15.4439 4.03564 1.15968 -0.462063 3.42946 4.54089 2.2563 -10.0951 1.90251 -1.09702 3.88808
51.01 3.21025 4.80034 3.12025 -13.9605 3.8684 0.22123 -4.23789 3.99663 0.999561 0.481594 -14.9392 2.76257 3.15725 1.78935 -0.859842 -1.46714 2.25761 -14.816 -2.20596 4.59337 1.85242 -3.64455 2.38756 3.55101 -13.9102 -1.45345 2.73543 -1.60599 0.00957442 7.14844 5.265 -13.5142 2.9837 -2.87378 -4.28019 6.33859 4.18459 -0.887027 -15.4807 4.04492 0.978887 -0.864645 3.84767 4.96213 2.48623 -10.073 2.45013 -1.18448 3.76489
