10.005 0.867602 0.989813 0.97258 0.818333 0.5488 0.201953 -0.173344 -0.524221 -0.801247 -0.965395 -0.993539 -0.881716 -0.645678 -0.318679 0.053216 0.417614 0.723179 0.926864 0.999974 0.932209 0.733117 0.430745 0.06769 -0.304901 0.879061 0.641393 0.313367 -0.0588061 -0.422694 -0.727034 -0.928951 -0.999999 -0.930169 -0.729298 -0.425685 -0.062103 0.310228 0.638855 0.877482 0.99249 0.967678 0.806542 0.531781 0.182104 -0.193227 -0.541337 -0.813184 -0.970472 1.11006 0.842705 1.14421 0.494246 1.01716 0.0761576 0.746821 -0.352659 0.37127 -0.731794 -0.0565851 -1.00784 -0.476468 -1.14189 -0.829228 -1.11509 -1.06517 -0.931186 -1.15105 -0.616102 -1.07477 -0.214223 -0.847082 0.217835 -0.500058 0.619205 -0.0825873 0.933343 0.346519 1.11599 0.726808 1.14142 1.00471 1.00605 1.14106 0.728952 1.11667 0.349157 0.93496 -0.0798263 0.621537 -0.497564 0.220552 -0.845206 -0.211503 -1.07378 -0.613762 -1.15108
10.055 0.79214 0.961355 0.995137 0.888725 0.657111 0.332925 -0.0381631 -0.403875 -0.712689 -0.921102 -0.999751 -0.937557 -0.743282 -0.444295 -0.082716 0.290516 0.62282 0.867382 0.98975 0.972683 0.818587 0.549169 0.202386 -0.172909 0.935595 0.739525 0.439272 0.0771351 -0.295868 -0.62719 -0.870155 -0.990534 -0.971368 -0.815358 -0.544482 -0.1969 0.178421 0.528606 0.804322 0.966727 0.992941 0.879271 0.641732 0.313786 -0.0583652 -0.422294 -0.726731 -0.928787 1.05847 0.941277 1.15072 0.630684 1.08086 0.231241 0.858731 -0.200778 0.515625 -0.604513 0.0998786 -0.923084 -0.329938 -1.11161 -0.713274 -1.14354 -0.996126 -1.01437 -1.13864 -0.742293 -1.12075 -0.365646 -0.944972 0.0625136 -0.636066 0.481866 -0.237551 0.833334 0.194429 1.0674 0.599018 1.1511 0.919219 1.07263 1.10992 0.843051 1.14426 0.494705 1.0174 0.0766649 0.747208 -0.352175 0.371751 -0.731402 -0.0560772 -1.00759 -0.476005 -1.14183
10.105 0.702038 0.915131 0.999301 0.942692 0.753278 0.457744 0.0977233 -0.276064 -0.61096 -0.859785 -0.987486 -0.976071 -0.827149 -0.5617 -0.217119 0.158048 0.51095 0.791871 0.961234 0.99518 0.888927 0.657444 0.333341 -0.0377217 0.974838 0.823989 0.557059 0.211651 -0.163574 -0.515755 -0.795277 -0.962762 -0.994615 -0.886349 -0.653215 -0.328058 0.043316 0.408587 0.716298 0.923097 0.999853 0.935751 0.739822 0.439669 0.0775755 -0.295446 -0.626846 -0.869937 0.98732 1.02245 1.13597 0.755467 1.12458 0.382051 0.95477 -0.0451868 0.65045 -0.466059 0.254496 -0.821274 -0.177311 -1.06079 -0.584139 -1.15086 -0.908674 -1.0788 -1.1052 -0.854766 -1.14602 -0.51031 -1.0254 -0.0939631 -0.760317 0.335622 -0.388125 0.717924 0.0387461 0.999087 0.460159 1.1395 0.816745 1.11938 1.05827 0.94157 1.15071 0.631109 1.08104 0.231739 0.859069 -0.200278 0.516079 -0.60408 0.100385 -0.922781 -0.329451 -1.11148
10.155 0.598962 0.851993 0.984997 0.979236 0.835523 0.574102 0.231804 -0.143151 -0.497939 -0.782579 -0.95697 -0.996545 -0.895728 -0.668723 -0.34751 0.0226599 0.389638 0.701724 0.914953 0.999285 0.942839 0.753568 0.458136 0.0981628 0.996064 0.893225 0.66455 0.342255 -0.028257 -0.394788 -0.705702 -0.917198 -0.999481 -0.940959 -0.749876 -0.453152 -0.0925895 0.281017 0.615035 0.862407 0.988286 0.974936 0.824239 0.557425 0.212082 -0.163138 -0.515377 -0.79501 0.897923 1.08473 1.10022 0.866287 1.14752 0.5258 1.03316 0.11124 0.773254 -0.318992 0.40441 -0.704284 -0.0214061 -0.990359 -0.444207 -1.13691 -0.804429 -1.1233 -1.05132 -0.951441 -1.15011 -0.645544 -1.08687 -0.248703 -0.870517 0.183174 -0.531525 0.589246 -0.117653 0.912306 0.312794 1.10684 0.699175 1.14545 0.987058 1.02269 1.13589 0.75585 1.12469 0.382531 0.955054 -0.0446787 0.65087 -0.465594 0.254992 -0.820917 -0.176808 -1.06059
10.205 0.484816 0.773109 0.952489 0.997683 0.902326 0.679851 0.3616 -0.00759296 -0.375716 -0.690909 -0.908768 -0.998601 -0.947754 -0.763388 -0.471478 -0.113147 0.261124 0.598608 0.851762 0.984921 0.979326 0.835765 0.574464 0.232233 0.998882 0.945953 0.75976 0.466533 0.107583 -0.266524 -0.603084 -0.854682 -0.985874 -0.978178 -0.832678 -0.569872 -0.226784 0.148254 0.502405 0.785779 0.958454 0.996103 0.893424 0.66488 0.34267 -0.0278154 -0.394382 -0.705389 0.791931 1.12696 1.04414 0.961097 1.14925 0.659832 1.09246 0.265611 0.881768 -0.166029 0.546851 -0.574279 0.134894 -0.901625 -0.296066 -1.10195 -0.685317 -1.14704 -0.978021 -1.03053 -1.13294 -0.768847 -1.12826 -0.398847 -0.964629 0.0273413 -0.665102 0.449678 -0.271878 0.808665 0.159649 1.05373 0.568684 1.15034 0.897604 1.0849 1.10007 0.866622 1.14756 0.526252 1.03339 0.111746 0.773631 -0.318503 0.404886 -0.703882 -0.0208978 -0.990099
10.255 0.361709 0.679937 0.902377 0.997691 0.952453 0.773035 0.484713 0.128106 -0.246549 -0.58647 -0.84377 -0.982202 -0.982263 -0.843944 -0.586733 -0.246863 0.127784 0.484429 0.772829 0.952354 0.997713 0.902516 0.680175 0.362012 0.983238 0.981198 0.840928 0.58219 0.241434 -0.133335 -0.48932 -0.77637 -0.954047 -0.997319 -0.900091 -0.67606 -0.356787 0.0127499 0.38049 0.694628 0.910908 0.998861 0.946096 0.760047 0.466924 0.108022 -0.266099 -0.602731 0.671302 1.14837 0.968763 1.03814 1.12975 0.781668 1.13157 0.415073 0.973984 -0.00999772 0.679184 -0.43366 0.288701 -0.796228 -0.142453 -1.04663 -0.553539 -1.14958 -0.886643 -1.09058 -1.09484 -0.87794 -1.1488 -0.541619 -1.04091 -0.128997 -0.786387 0.301799 -0.421078 0.690077 0.00355286 0.981139 0.427683 1.13398 0.791561 1.12707 1.04393 0.961376 1.14923 0.660248 1.09262 0.266105 0.882094 -0.165526 0.547298 -0.573838 0.135399 -0.901309
10.305 0.231918 0.574198 0.835587 0.97926 0.984977 0.851932 0.598868 0.261437 -0.112825 -0.471192 -0.763179 -0.94765 -0.998618 -0.908903 -0.691143 -0.376017 -0.0079174 0.361297 0.679613 0.902186 0.997661 0.952587 0.773315 0.485099 0.949423 0.998308 0.906554 0.687086 0.370823 0.00231861 -0.366512 -0.683709 -0.904587 -0.998028 -0.950869 -0.769753 -0.480196 -0.122989 0.251543 0.590639 0.846527 0.983158 0.981283 0.841167 0.582549 0.241862 -0.132897 -0.488934 0.538268 1.14855 0.87548 1.096 1.08936 0.889059 1.14977 0.556863 1.0482 0.146218 0.798965 -0.285026 0.437173 -0.676116 0.0137928 -0.971956 -0.41153 -1.13087 -0.778878 -1.13047 -1.0365 -0.970807 -1.1481 -0.674382 -1.09796 -0.282951 -0.893139 0.148342 -0.562495 0.558736 -0.152609 0.890417 0.278777 1.09666 0.670889 1.1484 0.968488 1.03836 1.12965 0.782042 1.13166 0.415547 0.974255 -0.0094893 0.679594 -0.433189 0.289194 -0.795861
10.355 0.0978399 0.457848 0.753355 0.942731 0.999297 0.915083 0.701955 0.389936 0.0229843 -0.347206 -0.668482 -0.895584 -0.996518 -0.957064 -0.782781 -0.498221 -0.143472 0.231488 0.573837 0.835345 0.979171 0.985053 0.852163 0.599222 0.898061 0.996969 0.955426 0.779284 0.493359 0.137929 -0.236931 -0.578413 -0.838409 -0.980292 -0.984073 -0.84922 -0.59473 -0.256456 0.117948 0.475735 0.766501 0.949284 0.998334 0.90674 0.687407 0.371233 0.0027603 -0.366101 0.395285 1.1275 0.766018 1.13361 1.02884 0.980018 1.14671 0.688362 1.10304 0.299732 0.90398 -0.131124 0.577565 -0.543508 0.169784 -0.879323 -0.261916 -1.09126 -0.656718 -1.14946 -0.959003 -1.04573 -1.12618 -0.794681 -1.13471 -0.431675 -0.983383 -0.00785657 -0.693517 0.417069 -0.30595 0.783239 0.124719 1.03907 0.537818 1.14851 0.87515 1.09616 1.08919 0.889381 1.14979 0.557308 1.04841 0.146723 0.799331 -0.284533 0.437643 -0.675704
10.405 -0.0380459 0.333036 0.6572 0.888779 0.995148 0.961323 0.792069 0.511229 0.158369 -0.216803 -0.561431 -0.826966 -0.976 -0.987537 -0.859951 -0.611217 -0.276376 0.0974004 0.457455 0.753065 0.942584 0.999313 0.915262 0.702269 0.830101 0.977204 0.98664 0.85708 0.606776 0.270991 -0.102971 -0.462427 -0.756736 -0.944439 -0.99909 -0.912992 -0.698273 -0.385182 -0.0178282 0.352038 0.672309 0.897867 0.996935 0.955556 0.779561 0.493743 0.138367 -0.236502 0.244996 1.08562 0.642398 1.15026 0.9493 1.05286 1.12247 0.807139 1.1375 0.447706 0.992288 0.0252007 0.707283 -0.400855 0.322637 -0.770439 -0.107462 -1.03148 -0.522421 -1.14722 -0.863783 -1.10133 -1.08346 -0.900293 -1.15049 -0.572422 -1.05545 -0.16391 -0.811722 0.267694 -0.453636 0.661585 -0.0316437 0.962274 0.394807 1.1274 0.765638 1.1337 1.02861 0.980284 1.14667 0.68877 1.10319 0.300223 0.904295 -0.130619 0.578005 -0.54306
10.455 -0.173229 0.202068 0.548898 0.8184 0.972608 0.989796 0.867544 0.623074 0.290826 -0.0823927 -0.444004 -0.743065 -0.937444 -0.999758 -0.921228 -0.712917 -0.404172 -0.0384873 0.332619 0.656867 0.888576 0.995105 0.961445 0.792338 0.7468 0.939379 0.999619 0.919035 0.70898 0.399044 0.032892 -0.337894 -0.661078 -0.891131 -0.995642 -0.95989 -0.78891 -0.50679 -0.153274 0.221834 0.565691 0.829855 0.97711 0.986712 0.857307 0.607127 0.271416 -0.102532 0.0901799 1.02367 0.506906 1.14566 0.852219 1.10625 1.07747 0.910999 1.15094 0.587406 1.06226 0.18106 0.823928 -0.250793 0.469527 -0.647315 0.0489789 -0.952645 -0.378469 -1.12377 -0.752599 -1.13658 -1.0207 -0.989266 -1.14501 -0.702589 -1.10802 -0.316934 -0.914925 0.113371 -0.592939 0.527704 -0.187422 0.867695 0.244499 1.08545 0.641976 1.15028 0.949012 1.05307 1.12235 0.807502 1.13758 0.448174 0.992545 0.025709 0.707684 -0.400378
