10.005 0.867602 0.989813 0.97258 0.818333 0.5488 0.201953 -0.173344 -0.524221 -0.801247 -0.965395 -0.993539 -0.881716 -0.645678 -0.318679 0.053216 0.417614 0.723179 0.926864 0.999974 0.932209 0.733117 0.430745 0.06769 -0.304901 0.879061 0.641393 0.313367 -0.0588061 -0.422694 -0.727034 -0.928951 -0.999999 -0.930169 -0.729298 -0.425685 -0.062103 0.310228 0.638855 0.877482 0.99249 0.967678 0.806542 0.531781 0.182104 -0.193227 -0.541337 -0.813184 -0.970472
10.055 0.79214 0.961355 0.995137 0.888725 0.657111 0.332925 -0.0381631 -0.403875 -0.712689 -0.921102 -0.999751 -0.937557 -0.743282 -0.444295 -0.082716 0.290516 0.62282 0.867382 0.98975 0.972683 0.818587 0.549169 0.202386 -0.172909 0.935595 0.739525 0.439272 0.0771351 -0.295868 -0.62719 -0.870155 -0.990534 -0.971368 -0.815358 -0.544482 -0.1969 0.178421 0.528606 0.804322 0.966727 0.992941 0.879271 0.641732 0.313786 -0.0583652 -0.422294 -0.726731 -0.928787
10.105 0.702038 0.915131 0.999301 0.942692 0.753278 0.457744 0.0977233 -0.276064 -0.61096 -0.859785 -0.987486 -0.976071 -0.827149 -0.5617 -0.217119 0.158048 0.51095 0.791871 0.961234 0.99518 0.888927 0.657444 0.333341 -0.0377217 0.974838 0.823989 0.557059 0.211651 -0.163574 -0.515755 -0.795277 -0.962762 -0.994615 -0.886349 -0.653215 -0.328058 0.043316 0.408587 0.716298 0.923097 0.999853 0.935751 0.739822 0.439669 0.0775755 -0.295446 -0.626846 -0.869937
10.155 0.598962 0.851993 0.984997 0.979236 0.835523 0.574102 0.231804 -0.143151 -0.497939 -0.782579 -0.95697 -0.996545 -0.895728 -0.668723 -0.34751 0.0226599 0.389638 0.701724 0.914953 0.999285 0.942839 0.753568 0.458136 0.0981628 0.996064 0.893225 0.66455 0.342255 -0.028257 -0.394788 -0.705702 -0.917198 -0.999481 -0.940959 -0.749876 -0.453152 -0.0925895 0.281017 0.615035 0.862407 0.988286 0.974936 0.824239 0.557425 0.212082 -0.163138 -0.515377 -0.79501
10.205 0.484816 0.773109 0.952489 0.997683 0.902326 0.679851 0.3616 -0.00759296 -0.375716 -0.690909 -0.908768 -0.998601 -0.947754 -0.763388 -0.471478 -0.113147 0.261124 0.598608 0.851762 0.984921 0.979326 0.835765 0.574464 0.232233 0.998882 0.945953 0.75976 0.466533 0.107583 -0.266524 -0.603084 -0.854682 -0.985874 -0.978178 -0.832678 -0.569872 -0.226784 0.148254 0.502405 0.785779 0.958454 0.996103 0.893424 0.66488 0.34267 -0.0278154 -0.394382 -0.705389
10.255 0.361709 0.679937 0.902377 0.997691 0.952453 0.773035 0.484713 0.128106 -0.246549 -0.58647 -0.84377 -0.982202 -0.982263 -0.843944 -0.586733 -0.246863 0.127784 0.484429 0.772829 0.952354 0.997713 0.902516 0.680175 0.362012 0.983238 0.981198 0.840928 0.58219 0.241434 -0.133335 -0.48932 -0.77637 -0.954047 -0.997319 -0.900091 -0.67606 -0.356787 0.0127499 0.38049 0.694628 0.910908 0.998861 0.946096 0.760047 0.466924 0.108022 -0.266099 -0.602731
10.305 0.231918 0.574198 0.835587 0.97926 0.984977 0.851932 0.598868 0.261437 -0.112825 -0.471192 -0.763179 -0.94765 -0.998618 -0.908903 -0.691143 -0.376017 -0.0079174 0.361297 0.679613 0.902186 0.997661 0.952587 0.773315 0.485099 0.949423 0.998308 0.906554 0.687086 0.370823 0.00231861 -0.366512 -0.683709 -0.904587 -0.998028 -0.950869 -0.769753 -0.480196 -0.122989 0.251543 0.590639 0.846527 0.983158 0.981283 0.841167 0.582549 0.241862 -0.132897 -0.488934
10.355 0.0978399 0.457848 0.753355 0.942731 0.999297 0.915083 0.701955 0.389936 0.0229843 -0.347206 -0.668482 -0.895584 -0.996518 -0.957064 -0.782781 -0.498221 -0.143472 0.231488 0.573837 0.835345 0.979171 0.985053 0.852163 0.599222 0.898061 0.996969 0.955426 0.779284 0.493359 0.137929 -0.236931 -0.578413 -0.838409 -0.980292 -0.984073 -0.84922 -0.59473 -0.256456 0.117948 0.475735 0.766501 0.949284 0.998334 0.90674 0.687407 0.371233 0.0027603 -0.366101
10.405 -0.0380459 0.333036 0.6572 0.888779 0.995148 0.961323 0.792069 0.511229 0.158369 -0.216803 -0.561431 -0.826966 -0.976 -0.987537 -0.859951 -0.611217 -0.276376 0.0974004 0.457455 0.753065 0.942584 0.999313 0.915262 0.702269 0.830101 0.977204 0.98664 0.85708 0.606776 0.270991 -0.102971 -0.462427 -0.756736 -0.944439 -0.99909 -0.912992 -0.698273 -0.385182 -0.0178282 0.352038 0.672309 0.897867 0.996935 0.955556 0.779561 0.493743 0.138367 -0.236502
10.455 -0.173229 0.202068 0.548898 0.8184 0.972608 0.989796 0.867544 0.623074 0.290826 -0.0823927 -0.444004 -0.743065 -0.937444 -0.999758 -0.921228 -0.712917 -0.404172 -0.0384873 0.332619 0.656867 0.888576 0.995105 0.961445 0.792338 0.7468 0.939379 0.999619 0.919035 0.70898 0.399044 0.032892 -0.337894 -0.661078 -0.891131 -0.995642 -0.95989 -0.78891 -0.50679 -0.153274 0.221834 0.565691 0.829855 0.97711 0.986712 0.857307 0.607127 0.271416 -0.102532
