10.005 0.628337 0.84106 0.824844 0.650868 0.952225 0.406129 0.999803 0.127354 0.963592 -0.162093 0.846626 -0.437957 0.658708 -0.677117 1.90402 0.836959 1.82501 0.802226 1.74599 0.767493 1.66698 0.73276 1.85697 0.451304 1.76457 0.428848 1.67217 0.406392 1.67622 0.141866 1.57818 0.133568 1.48014 0.12527 1.3458 -0.0924246 1.25033 -0.0858683 1.15487 -0.079312 0.942044 -0.231494 0.857152 -0.210633 0.772261 -0.189772 0.544134 -0.27058 0.476933 -0.237163 0.409731 -0.203746 0.34253 -0.170329 0.179778 -0.176882 0.135898 -0.13371 0.092019 -0.0905369 0.0481396 -0.0473642
10.055 0.515429 0.907438 0.739294 0.749054 0.901202 0.527895 0.987583 0.262495 0.9912 -0.0249036 0.911748 -0.310215 0.755886 -0.569529 1.69286 0.954155 1.62261 0.914559 1.55236 0.874962 1.4821 0.835366 1.74758 0.574502 1.66062 0.545915 1.57367 0.517329 1.64773 0.259545 1.55135 0.244364 1.45498 0.229184 1.37751 0.00708731 1.27979 0.00658456 1.18208 0.00608181 1.00837 -0.15777 0.917498 -0.143553 0.826631 -0.129336 0.618652 -0.22466 0.542248 -0.196914 0.465843 -0.169169 0.389439 -0.141423 0.227543 -0.159578 0.172005 -0.120629 0.116467 -0.0816796 0.0609297 -0.0427305
10.105 0.392734 0.956585 0.639706 0.833017 0.833067 0.639637 0.956612 0.392651 0.999987 0.112759 0.959557 -0.176583 0.838711 -0.451126 1.44955 1.05323 1.3894 1.00953 1.32925 0.965818 1.26909 0.92211 1.60501 0.686791 1.52515 0.652617 1.44529 0.618443 1.58794 0.372296 1.49507 0.35052 1.40219 0.328745 1.38306 0.106465 1.28495 0.0989124 1.18684 0.0913601 1.05554 -0.0810513 0.960423 -0.0737474 0.865304 -0.0664436 0.681423 -0.174474 0.597266 -0.152927 0.51311 -0.131379 0.428953 -0.109831 0.270987 -0.139243 0.204846 -0.105257 0.138704 -0.0712715 0.072563 -0.0372855
10.155 0.262582 0.987569 0.527971 0.901163 0.749113 0.739233 0.907476 0.515352 0.989786 0.248281 0.989147 -0.0395976 0.905611 -0.324157 1.17873 1.13231 1.12981 1.08532 1.08089 1.03833 1.03198 0.991345 1.43197 0.786039 1.36072 0.746927 1.28946 0.707815 1.49801 0.477978 1.41039 0.450021 1.32278 0.422064 1.36235 0.20382 1.26571 0.189362 1.16907 0.174904 1.08267 -0.00279316 0.985111 -0.00254146 0.887547 -0.00228976 0.731255 -0.120976 0.640944 -0.106035 0.550634 -0.0910944 0.460323 -0.0761538 0.309286 -0.116265 0.233797 -0.0878875 0.158308 -0.05951 0.0828184 -0.0311326
10.205 0.127443 0.999801 0.406211 0.952197 0.650936 0.824793 0.841109 0.628267 0.960792 0.379088 0.999954 0.0981395 0.955315 -0.191034 0.885516 1.18989 0.848768 1.14052 0.81202 1.09114 0.775272 1.04176 1.23173 0.870362 1.17044 0.827054 1.10915 0.783746 1.37963 0.574584 1.29894 0.540977 1.21824 0.50737 1.31577 0.297306 1.22243 0.276216 1.1291 0.255126 1.08925 0.075518 0.991094 0.0687128 0.892938 0.0619076 0.767203 -0.0651799 0.672452 -0.0571301 0.577702 -0.0490803 0.482951 -0.0410305 0.341713 -0.091079 0.258309 -0.0688488 0.174905 -0.0466186 0.0915013 -0.0243884
10.255 -0.0101145 0.993049 0.276738 0.985152 0.540399 0.894693 0.758771 0.729253 0.913554 0.502698 0.991775 0.234013 0.98688 -0.054283 0.575492 1.22488 0.551609 1.17405 0.527727 1.12322 0.503845 1.07239 1.00811 0.938159 0.957948 0.891478 0.907786 0.844796 1.23506 0.66028 1.16282 0.621661 1.09058 0.583041 1.24421 0.385147 1.15595 0.357826 1.06769 0.330505 1.07514 0.152395 0.978258 0.138662 0.881373 0.124929 0.788583 -0.00814648 0.691192 -0.00714038 0.593801 -0.00613428 0.49641 -0.00512818 0.367651 -0.0641636 0.277916 -0.0485028 0.188181 -0.032842 0.0984468 -0.0171812
10.305 -0.14748 0.967441 0.142011 0.9994 0.419601 0.947603 0.662026 0.816392 0.848969 0.616762 0.964764 0.365443 0.999706 0.0834986 0.25454 1.23661 0.243977 1.18529 0.233414 1.13397 0.222851 1.08266 0.765346 0.988142 0.727264 0.938974 0.689181 0.889805 1.06703 0.733439 1.00462 0.69054 0.942213 0.647642 1.14902 0.465674 1.06751 0.432641 0.986006 0.399607 1.04062 0.226379 0.946847 0.205979 0.853073 0.185579 0.794989 0.0490416 0.696807 0.0429849 0.598625 0.0369282 0.500443 0.0308715 0.386608 -0.0360299 0.292246 -0.0272359 0.197885 -0.0184418 0.103523 -0.00964781
10.355 -0.282046 0.923464 0.00458706 0.994672 0.290836 0.982521 0.55271 0.888029 0.768265 0.719115 0.919434 0.489935 0.993549 0.219695 -0.0712448 1.22486 -0.0682882 1.17403 -0.0653316 1.1232 -0.062375 1.07237 0.508049 1.01936 0.48277 0.968641 0.45749 0.917919 0.878747 0.792671 0.82735 0.746308 0.775952 0.699945 1.03202 0.537359 0.958809 0.499241 0.885601 0.461122 0.986341 0.296064 0.897458 0.269384 0.808575 0.242705 0.7863 0.105299 0.689191 0.092294 0.592082 0.0792896 0.494973 0.0662851 0.398224 -0.00721202 0.301027 -0.00545174 0.20383 -0.00369146 0.106633 -0.00193118
10.405 -0.411256 0.861952 -0.132924 0.971058 0.156548 0.998783 0.4329 0.942805 0.672973 0.807814 0.856646 0.605123 0.968528 0.351719 -0.395677 1.18985 -0.379257 1.14047 -0.362837 1.09109 -0.346416 1.04172 0.241106 1.03123 0.229109 0.979916 0.217112 0.928603 0.673776 0.836852 0.634367 0.787905 0.594958 0.738958 0.895417 0.598841 0.831899 0.556361 0.768381 0.513882 0.913332 0.360127 0.831028 0.327675 0.748724 0.295223 0.762681 0.159556 0.668489 0.139851 0.574297 0.120145 0.480105 0.10044 0.402279 0.0217428 0.304092 0.0164359 0.205906 0.011129 0.107719 0.00582211
10.455 -0.532657 0.784073 -0.267911 0.929005 0.0192876 0.99608 0.30487 0.979678 0.564902 0.881174 0.777593 0.708821 0.925116 0.477066 -0.712596 1.13225 -0.683024 1.08526 -0.653452 1.03827 -0.62388 0.991286 -0.0304156 1.02351 -0.0289021 0.972584 -0.0273887 0.921655 0.456011 0.865143 0.429339 0.814542 0.402667 0.76394 0.741815 0.648952 0.689193 0.602918 0.636571 0.556883 0.82298 0.417353 0.748818 0.379744 0.674657 0.342134 0.724581 0.210784 0.635094 0.184752 0.545608 0.15872 0.456121 0.132688 0.398695 0.0502847 0.301383 0.0380114 0.204072 0.0257381 0.10676 0.0134649
